ip_armies_size|Размер армии
ip_character_backgrounds_text|Игрок может выбрать персонажа самого разного социального происхождения. От выбора биографии персонажа зависят не только его умения и его снаряжение в начале карьеры, но и общий ход событий в жизни искателя приключений.^^Войной и политикой в Северных странах традиционно занимаются мужчины-аристократы. Персонаж-дворянин, выбранный игроком, может получить приглашение в высшее общество довольно быстро, тогда как выбранным персонажами женщинам и простолюдинам придется столкнуться с дополнительными препятствиями на своем пути. Начало игры за мужского персонажа благородного происхождения можно даже в определенной степени назвать «легким уровнем сложности». Начинать игру за благородную женщину или мужчину-простолюдина окажется не так легко, а начинать игру за женщину-простолюдинку - вероятно самый трудный вариант начала игры.^^Однако свои стартовые преимущества есть и у женских персонажей. Женщина привлекает к себе внимание уже просто взяв в руки оружие, и поэтому, заслужить репутацию ей легче, чем мужчине. Кроме того, женщинам традиционно легче взбираться по социальной лестнице посредством замужества, и получают они от стратегического брачного союза больше, чем их коллеги-мужчины.^^И, наконец, не забывайте о том, что в игре нет ограничений по продвижению персонажей по социальной иерархии, связанных с их происхождением. Дворянин или простолюдин, мужчина или женщина, состоящий в браке или нет - любой может стать правителем Северных земель, если он будет достаточно отважным, находчивым, или ему просто повезет.
ip_military_campaigns|Военные кампании
ip_military_campaigns_text|ВНИМАНИЕ! Если вы видете не весь текст, откройте, что бы прочесть его полностью, файл расположен тут:^(C\D\E\...)\Игра\Modules\Viking Conquest\languages\info_pages.^Когда королевства Северных земель воюют между собой, у их армий имеется два основных варианта наступательных действий. Во-первых, они могут нападать на деревни и разорять их окрестности, нанося урон престижу и экономике врага. Во-вторых, они могут захватывать и удерживать замки или города, тем самым подчиняя себе новые территории. Второй вариант подразумевает долгие и кровавые осады, но и результат в таком случае более ощутим.^^Важно иметь в виду, что государства Северных земель не содержат регулярных армий, которые сохраняют свою боеготовность, пока этого желает их правитель. Вместо этого государства защищают своего рода отряды ополчения под руководством крупных землевладельцев и членов их свиты.  Иногда эти дворяне предпринимают самостоятельные действия, вторгаясь на территорию врага, но самые решающие события произойдут, когда соберется многочисленное войско. Маршал королевства - человек благородного происхождения, назначенный королем - созывает войско в начале кампании и ведет его в сражение. Однако, ему следует быть осмотрительным и не держать войско под ружьем слишком долго. В этом случае войско начнет разбегаться, так как отдельные вассалы будут разъезжаться по своим делам, и армия станет уязвимой перед контратакой противника.^^По этой причине ритм боевых действий в Северных землях напоминает ритм поединка между двумя соперниками. Одна сторона собирается с силами и вторгается на территорию врага. Если маршал тратит слишком мало времени на сбор вассалов, он не сможет нанести врагу ощутимый удар. Если же он тратит слишком много времени, то кампания может закончиться, так и не начавшись. У крупного государства такое же преимущество перед более мелким, как и у физически более сильного противника перед слабым, но политическая сплоченность также играет важную роль, подобно тому, как более выносливый противник может одолеть того, кто быстрее устает. Иногда армии двух государств сталкиваются лоб в лоб друг с другом, и в результате начинается большое сражение, исход которого зависит как от численности войск, так и от боевого духа.^^Государствам всегда не хватает сведений о том, что происходит в стане врага. Прежде чем отправляться в завоевательный поход, лордам нужно высылать разведчиков, чтобы те определили, какая из крепостей наиболее уязвима перед атакой. Армия, защищающая свою территорию, находится в более выигрышном положении, поскольку сведения о продвижении врага поступают из затронутых войной замков и городов. Но в любом случае эти сведения неточны, особенно когда дело касается цифр. Войска, отправляющиеся на снятие осады или на защиту деревни, могут либо разбить неподготовленного врага, либо сами стать очередной его жертвой. В свою очередь, атакующая сторона должна с опаской продвигаться вглубь вражеской территории.^^От игрока ожидают участия к военной кампании его фракции в результате соединения с основным войском, или в результате проведения передовой разведки вражеской территории. Некоторые игроки могут посчитать своего маршала слишком осторожным или слишком агрессивным. В этом случае, они могут интриговать с другими лордами с целью смены маршала, или создать себе поддержку, чтобы их персонаж в будущем сам стал маршалом.^^Большинство войн ограничены временными рамками. Король, который начинает войну, ради чести обязан завершить конфликт за короткое время. Однако, несмотря на его громкие победы над врагом, он может вскоре начать искать пути выхода из конфликта, чтобы не оказаться уязвимым перед атакой третьей стороны. Правители Северных земель прекрасно знают, что тот, кто сегодня является союзником, завтра может оказаться врагом и наоборот.
ip_siege_warfare|Осадное дело
ip_siege_warfare_text|Viking Conquest предлагает ведение осад в соответствии с периодом Темных веков. В случае осады поселения у игрока есть два варианта его захвата: окружение, длительная осада (истощение врага: голод, болезни...) или штурм.^^В первом случае целью игрока является блокада поселения с целью нарушить его снабжение провизией и не допустить подхода подкреплений. В тоже время могут быть предприняты различные действия для подрыва боевого духа противника: распространение болезней или уничтожения запасов продовольствия в поселении. Этот вариант занимает больше времени, но позволяет избежать больших потерь.^^Во втором случае предпринимаются прямые действия по подготовке штурмовой техники или предварительные действия, такие как ослабление рядов защитников или сжигание их домов и стен. Эту опцию следует использовать, если игрок считает себя в силах развернуть полномасштабный штурм для захвата поселения. Преимущество штурма в более быстром достижении успеха, но обычно он сопровождается большими потерями.^^Кроме того, если в поселении есть порт, то игрок может снарядить флот и штурмовать  порт, возглавляя атаку с моря.^^Новая осадная система имеет слишком много тонкостей, чтобы описать их здесь детально. Лучший вариант - это найти и развивать свою собственную стратегию осад.
ip_sea_travel|Морские путешествия
ip_sea_travel_text|ВНИМАНИЕ! Если вы видете не весь текст, откройте, что бы прочесть его полностью, файл расположен тут:^(C\D\E\...)\Игра\Modules\Viking Conquest\languages\info_pages.^Паромы на карте мира перевозят ваш отряд между двумя пристанями. Эта услуга дешева, пока ваш отряд невелик, и она становится более дорогой с количественным ростом вашего отряда.^^Чтобы совершать дальние морские путешествия, необходимо отправляться из одного портового города в другой. Эта опция может быть инициирована из меню города или в разговоре с корабелом в портовой части города. Как и в случае с паромами эта услуга становится более дорогой с количественным ростом отряда.^^Если у вас есть свое собственное судно, вы можете отправиться из порта, в котором оно находится, выбрав в меню города опцию 'Отплыть'. При этом вы вернетесь на карту, но уже будучи в море на своем корабле. После этого, морское путешествие проходит подобно наземному.^^Имеется два разных способа, чтобы высадиться с корабля на землю. Вы можете или кликнуть по порту или использовать точку высадки. Чтобы найти точку высадки, путешествуйте вплотную к берегу или щелкните правой кнопкой мыши по вашему отряду и выберите пункт 'Найти точку высадки'. Как и в случае с портами, кликните по точке высадки, чтобы высадиться на берег. В любом случае ваши корабли останутся у места вашей высадки.^^Если численность вашего отряда больше, чем вместимость ваших кораблей, вы не сможете погрузить все войска. В этом случае, вы можете оставить часть войск разбив военный лагерь, зайдя в меню 'Становище', на вашей текущей позиции, таким образом, транспортировать вашу армию поэтапно.^^Во время путешествия по морю на карте кампании, вы всегда можете проверить текущее состояние погоды. После нажатия на кнопку 'Лагерь', погодные условия отобразятся слева. Если погодные условия меняются, сообщение в левом нижнем углу экрана уведомит вас об этом.^^С одной стороны, ветреная погода хороша для увеличения скорости ваших кораблей на карте кампании и в морских сражениях. С другой стороны, увеличиваются шансы на то, что сильный ветер повредит и ваши корабли. Повреждения ухудшают состояние судна, замедляя его или даже уничтожая, когда состояние корабля становится 'Развалюха'. Вы можете проверить состояние ваших кораблей, нажав на кнопку 'Лагерь', а затем 'Флот'.^^Наконец, погода также определяет поведение судов в бою. Это всегда можно проверить заранее, нажав на кнопку 'Лагерь', а затем 'Осмотреться'.^^Морские путешествия опасны и могут понизить боевой дух ваших войск. Если это произойдет, то вы будете уведомлены соответствующим сообщением. Солдаты особенно не любят проводить ночь на воде. Поэтому, планируйте свой маршрут с ночевками на берегу. Если мораль становится слишком низкой, войска могут взбунтоваться.^^Некоторые войска, такие как моряки и определенные норвежские воины, являются опытными мореходами и увеличивают скорость ваших кораблей на карте кампании. Вы можете это проверить в меню 'Лагерь' слева.^^Если в вашем флоте больше одного корабля, скорость флота определяется скоростью самого медленного корабля. Тем не менее, как только в вашем флоте появляется второй корабль и более, вы можете разделить флот. Для того, чтобы сделать это, подойдите к берегу. Затем нажмите на кнопку 'Лагерь', 'Флот' и, наконец, на 'Оставить корабль на берегу', чтобы оставить там более медленный корабль. Чтобы объединить корабли снова, нужно привести их все в порт. Чтобы просмотреть все ваши корабли и их места расположения, щелкните по кнопке 'Персонаж', а затем 'Суда'.
ip_sea_battle|Морское сражение
ip_sea_battle_text|Через некоторое время после начала плавания по морю, вы примете участие в морском сражении.^^Прежде всего, вам нужно знать, как управлять кораблем. Вы можете дать команду вперед, полный вперед, назад, или стоять на месте. Эти команды переключаются клавишами стрелка вверх/стрелка вниз. Вы также можете дать команду идти прямо, право руля, круто вправо, лево руля или круто влево. Эти команды переключаются клавишами стрелка влево/стрелка вправо.^^Текущие команды представлены стрелками вокруг изображения вашего корабля в правом верхнем углу. Нажмите Enter, чтобы установить парус и Backspace, чтобы получить тактический обзор места действия. Тренируйтесь в применении этих команд, чтобы почувствовать, что значит управлять кораблем и использовать эффект ветра.^^Как только вы окажетесь достаточно близко к вражескому кораблю, начнется абордаж. Корабли сцепливаются друг с другом и начинается бой.^Если вам повезет, вы можете захватить вражеский флагманский корабль после победы в бою.^^Если в морском сражении участвуют несколько ваших судов, то вы можете отдавать команды 'Стоять' или 'Атаковать' вашим кораблям, которые приписаны к группе 9. В списке вашей армии первыми указаны те части, которые находятся с вами на флагмане. Прочие войска будут на оставшихся судах. Вы можете назначить флагманом другой корабль, находясь в порту или во время остановки в море (меню Лагерь).^^С достатчно большим флотом, можно атаковать города со стороны моря. Чтобы сделать это, просто кликните по вражескому портовому городу, и у вас появится опция атаковать как только вы достигнете его без высадки на берег.
ip_ship_info|Корабли
ip_ship_info_text|Через какое-то время вы захотите приобрести корабль. Для этого есть несколько причин. На протяжении долгого времени это будет самый дешевый вид передвижения по морю. Корабль дает вам полную свободу в перемещении по морю. Он дает вам новые возможности для торговли и пиратства.^^С другой стороны, в этом есть и минусы. Прежде всего, корабль стоит дорого, и вам придется накопить определенную сумму для его приобретения. Кроме того, судно может перевозить только ограниченное количество войск.^^Еще одним важным фактором является скорость. На более быстром судне вы будете более успешно догонять другие корабли или уходить от них. Скорость корабля определяется его типом и состоянием.^^Наконец, тип древесины, используемый для строительства судна, влияет на его прочность. В то время как корабли, сделанные из дуба, очень долговечны, корабли, сделанные из бука, придется отправлять в ремонт чаще.^^Когда вы решите, что готовы купить корабль, нажмите на кнопку 'Показать суда' в меню портового города или поговорите с корабелом.  В портовых городах могут выставляться на продажу до трех кораблей, а иногда ни один не доступен для покупки. Тип и количество продаваемых кораблей меняются с течением времени. В то время как во всех портовых городах предлагают корабли для продажи, самые лучшие корабли находятся в норвежских и фризских портах. Чтобы увидеть свой корабль, вы можете кликнуть на 'Осмотреть суда' в меню города или прогуляться до городского причала.^^В порту можно модифицировать парус или окрасить любое судно, сделанное из дуба. Существует один специальный парус, который зарезервирован для кораблей игрока. Он может быть изменен в специальном графическом редакторе (не входящем в Viking Conquest). Для получения дополнительной информации см. папку 'Настройка парусов' среди файлов этого DLC.^^Если у вас есть корабль, корабел будет взаимодействовать с вами по-другому и станет давать советы. Корабелы также предлагают строить суда на заказ. Для лучших судов могут потребоваться специальные материалы, которые вам необходимо приобрести. Постройка лучших кораблей требует больше времени и участия более талантливых корабелов в норвежских портах. Для судов, которые вы построили, можно выбрать названия в меню настроек судна.^
ip_wounds|Ранения
ip_wounds_text|Игрок может получить специфические тяжелые раны в бою. Лекари в крупных городах обработают эти раны за деньги, после чего они будут заживать в течение нескольких дней. Любые негативные последствия ранения будут устранены. Если рану не лечить, то через некоторое время она зарубцуется, и негативные последствия этого станут постоянными.
ip_traits|Характерные особенности - трейты
ip_traits_text|Когда вы достигнете 13-го уровня, вы можете получить один из этих трейтов в зависимости от выбранных навыков:^^Берсерк: став берсерком в пылу сражения вы на короткое время увеличите скорость и силу. Эта жестокая свирепость сделает ваше видение красным.^^Вдохновитель: приобретение этого навыка увеличит ваше лидерство в бою, так как ваш боевой клич усилит ярость ваших солдат в сражении.^^Варвар: это умение заставит ваши войска двигаться быстрее и повысит их подвижность в бою.^^Альтруист: ваше внимание к уходу за броней и щитами ваших воинов уменьшает шанс их ранения в бою .^^Используйте клавишу Т, чтобы активировать эти трейты на поле боя.
ip_recruitment|Вербовка солдат
ip_recruitment_text|Вербовка в Viking Conquest зависит от ряда факторов.^^Во-первых, для того, чтобы набирать рекрутов в деревне, форте или городе, вы должны получить разрешение местного лорда. Для этого вам необходимо иметь достаточную известность (150+) и хорошие отношения с лордом и его фракцией.^^В деревнях вы также можете получить разрешение от местного старосты. В этом случае вы можете использовать высокую известность (150+) и высокий уровень отношений (15+), или можете просто попробовать дать взятку. Подкуп может сработать или не сработать, так что вам, возможно, придется попробовать подкупить старосту более одного раза.^^После того, как разрешение получено, вы можете набирать солдат до тех пор, пока ваши отношения с поселением остаются положительными. В деревнях вы можете набирать войска 1-го уровня. Если уровень отношений достаточно высок (60+), вы можете нанять войска 2-го уровня. Если деревня будет принадлежать вам, вам нужны отношения только 20+, чтобы сделать это.^^В замках и городах вы сможете набирать солдат 2-го уровня. Если уровень ваших отношений с замком или городом достаточно высок (30+), существует 30% шанс, что вы сможете получить войска 3-го уровня. Максимальное количество войск, которое вы можете набрать, определяется вашим уровнем отношений с поселением, вашим лидерством, харизмой, вероисповеданием, доминирующей религией в поселении, а также этим: принадлежит ли вам это селение или нет.^^Есть и другие варианты. Если вы являетесь христианином, вы можете найти некоторых отчаянных беженцев в монастырях. Всегда есть шанс найти людей, которые ищут работу в деревнях.
ip_wages|Жалование
ip_wages_text|На сумму выплат солдатам в Viking Conquest, прежде всего, влияет лидерство игрока. Для воинов более высокого уровня значение навыка 'убеждение' у игрока может стать плюсом или минусом (чем выше, тем лучше). Для солдат вне закона, таких как Грабители и Викинги, важна репутация игрока, дающая скидку на выплаты жалования, если репутация игрока ниже, чем «печально известный».
ip_skills|Навыки и атрибуты
ip_skills_text|При создании и развитии персонажа в Viking Conquest, следует обратить внимание на многие навыки и атрибуты. Такие навыки, как убеждение и лидерство, весьма важны для ведения торговли, выплаты жалования, взаимодействия с лордами и леди и принудительного обращения в свою религию. Атрибуты, такие как интеллект и харизма, также имеют важное значение в этих мероприятиях, но и влияют на вашу способность вступать в брак или вести за собой людей.^^Есть три важных навыка для действий на море: 'Викинг', 'Навигация' и 'Сбор трофеев'.^^Уровень навыка 'Викинг' определяет количество судов, которыми может командовать игрок. Уровень 1 позволяет командовать двумя кораблями. Семь судов - это максимум для уровня 'Викинг', который равен 4.^^Навык 'Навигация' позволяет плыть по морю быстрее. Это морской эквивалент сухопутного навыка 'Поиск пути' (который, кстати, бесполезен в море).^^Чем выше уровень навыка 'Сбор трофеев', тем больше шанс захвата вражеских судов.
ip_tactical_controls|Управление на тактике
ip_tactical_controls_text|Используйте клавиши с цифрами для выбора группы. Нажмите 0 для выбора всех ваших войск.^^Используйте F1-F4, чтобы отдавать приказы выбранным группам. Удерживайте клавишу F1, чтобы определить места для выбранных групп. Таким способом можно и нацелится на любую вражескую группу.^^Нажатие клавиши ENTER инициирует включение стратегической камеры.^^Нажатие клавиши BACKSPACE включает Дисплей боевых команд и радар.^^Нажатием клавиши Н вы можете подозвать своего коня  (требуется навык верховой езды от 4 и выше).^^Нажатие клавиши  Z позволит вам полуприсесть.^^Удерживая клавишу действия и нажимая клавишу защиты, вы можете насмехаться над врагом.^^Удерживая клавишу защиты и нажимая клавишу действия, вы выполните удар щитом.^^В мультиплеерном режиме, удерживая клавишу Q и нажимая клавишу защиты, вы можете насмехаться над вашим оппонентом.
ip_division_placement|Развертывание групп
ip_division_placement_text|При направлении ОДНОЙ группы в определённую точку шеренга расположится по центру этой точки.^^Когда вы выберете все группы и направите их в определённое место, то они встанут так как стояли перед началом боя. ^^Можно изменить размещение отдельных групп по отношению к игроку, нажав клавиши F2, F7. По умолчанию пехота слева, кавалерия справа и выстраиваются в один ряд. Все построения отменяются, если игрок возглавил лично группу через меню (Группа игрока).^^Если вкл. опция «Авто. построение на противника» группы игрока будут перестраиваться в направлении к центру вражеских сил. Без этой опции группы будут направлены взором в туже сторону, что и игрок, когда давал приказ на перемещение группы в определенную точку для удержания позиций.
ip_formations|Сложные формации
ip_formations_text|Сложные формации в боевом меню являются:^^- ШЕРЕНГИ с лучшими частями впереди^- СТЕНА ЩИТОВ - шеренги со щитами спереди и длинным оружием позади^- КЛИН с лучшими войсками по фронту^- КАРЕ в произвольном порядке^- НЕТ ФОРМАЦИИ^^Даже в последнем случае игрок может сформировать до четырех шеренг, отдав приказ 'Сдвинуться плотнее' достаточное количество раз.
ip_dog_companion|Собака-компаньон
ip_dog_companion_text|Во время путешествия в раздумьях, вы вдруг услышите собачий лай. К счастью, у вас есть кусок колбасы/сосиски. Это начало дружеского общения. Собака не оставит вас, даже на поле боя, и вскоре получит имя. (В бою ваша собака находится в группе 9.) Кормите собаку хорошей едой и увеличивайте её навыки и умения.
ip_rents|Рента
ip_rents_text|С каждого поселения, которым вы владеете, уплачивается рента. Рента выплачивается в среднем каждую неделю на протяжении длительного срока, но частота выплат варьируется. Вы можете получать выплаты на протяжении нескольких недель, а можете ничего не получать по истечении других сроков. Если выплата не была произведена в назначенный день, запись в вашем бюджете будет показывать, что рента не выплачена. Если деревня, или форт, или город разграблены, запись в вашем бюджете покажет, что рента недоступна. Как только деревня/форт/город вернется в нормальное состояние, с него начнет выплачиваться рента. На величину ренты также влияет благосостояние поселения, наличие специальных построек, религиозный состав, налоговая ставка и настройки сложности. Специальные постройки будут генерировать ренту, даже если поселение разграблено.
ip_quarters|Становище
ip_quarters_text|Позволяет вам разбить военный лагерь, где вы сможете оставлять часть ваших войск в определенном месте на карте. Вы можете поставить два таких лагеря.^^Существует несколько сценариев, которые делают этот лагерь полезным:^- Если вам необходимо плыть на корабле, но вы не можете заплатить за переправу всех ваших войск^- Если вместимость вашего флота недостаточна для транспортировки всех ваших войск одновременно^- Если вы желаете пробраться в город незаметно^- Если вы желаете быстрее перемещаться по карте.
ip_veter15|VETER15
ip_veter15_text|VETER15
