p_zendar|Зендар
p_battlefields|поля сражений
p_frisa_beach|Берег Фризия
p_farmland|Ферма Ульфа
p_boar_grove|Кабанья роща
p_readingum|Редингам
p_aescesdun|Эсцедун
p_mega_danishrmy|Великое Летнее Войско
p_battle_stones|Ряд камней
p_farmland_special|Поместье
p_roman_fort|Римский форт
p_troll_bridge|Мост Тролля
p_circle_mystic1|Мистический круг
p_celidon_forest|Древние камни
p_hidden_valley|Странные руины
p_quarry1|Каменоломня
p_quarry2|Каменоломня
p_quarry3|Каменоломня
p_quarry4|Каменоломня
p_saltmine1|Соляные шахты
p_saltmine2|Соляные шахты
p_saltmine3|Соляные шахты
p_saltmine4|Соляные шахты
p_lumbercamp1|Лагерь лесорубов
p_lumbercamp2|Лагерь лесорубов
p_lumbercamp3|Лагерь лесорубов
p_lumbercamp4|Лагерь лесорубов
p_farmsteadsp1|Ферма
p_farmsteadsp2|Ферма
p_farmsteadsp3|Ферма
p_farmsteadsp4|Ферма
p_farmsteadsp5|Ферма
p_farmsteadsp6|Ферма
p_farmsteadsp7|Ферма
p_farmsteadsp8|Ферма
p_farmsteadsp9|Ферма
p_hadrian_wall1|Адрианов Вал
p_bjorn_camp|Лагерь Бьёрна
p_snotingaham_siege|Осажд. Снотингахам
p_odin_cavep_odin_cave|Пещера Одина
p_stonemonumento|Каменный монумент
p_forestbattle|Лесное сражение
p_the_thing|Ассамблея
p_dhorak_keep|Твердыня Дорак
p_training_ground|Тренир. площадка
p_training_ground_1|Тренир. лагерь в поле
p_training_ground_2|Тренир. лагерь в деревне
p_training_ground_3|Тренир. лагерь в поле
p_training_ground_4|Тренир. лагерь на озере
p_training_ground_5|Тренир. лагерь
p_monasterio1|Ад Кандида Касам
p_monasterio2|Виллиброрд
p_monasterio3|Доммок
p_monasterio4|Линдисфарн
p_monasterio5|Апоркросан
p_monasterio6|Петрюс
p_monasterio7|Абернети
p_monasterio8|Кармартен
p_monasterio9|Бардси
p_monasterio10|Эвесхоме
p_monasterio11|Беверли
p_monasterio12|Хексем
p_monasterio13|Брейдун
p_monasterio14|Гутлак
p_monasterio15|Уокинг
p_monasterio16|Кловешо
p_monasterio17|Уэрбург
p_monasterio18|Дирхерст
p_monasterio19|Йтан
p_monasterio20|Петрокстоу
p_monasterio21|Медешамстед
p_monasterio22|Кукхем
p_monasterio23|Патрик
p_monasterio24|Дубовая роща
p_monasterio25|Абб Финиан
p_monasterio26|Абб Рейтен
p_monasterio27|Абб Карах
p_monasterio28|Скеллиг-Май
p_monasterio29|Абб Гленда
p_yourlair|Моё убежище
p_thiaderd_lair|Убежище Тиадерда
p_destroy1|Развал. убежища Тиадерда
p_destroy2|Развал. логова Свена
p_destroy3|Поле битвы Эсцедун
p_followers_camp|Последователи
p_ferry_1a|переправа
p_ferry_2a|переправа
p_ferry_3a|переправа
p_ferry_4a|переправа
p_ferry_1b|переправа
p_ferry_2b|переправа
p_ferry_3b|переправа
p_ferry_4b|переправа
p_wales_spawn_point|побережье
p_fortiu_spawn_point|побережье
p_sussex_spawn_point|Суссекс
p_clyde_coast_spawn_point|река
p_limerick_spawn_point|побережье
p_norway_spawn_point|горы
p_northumbria_spawn_point|сельская местность
p_mierce_spawn_point|сельская местность
p_crafu_spawn_point|сельская местность
p_alban_spawn_point|сельская местность
p_aileach_spawn_point|сельская местность
p_engla_coast_spawn_point|побережье
p_cornish_coast_spawn_point|побережье
p_leinster_spawn_point|сельская местность
p_frisia_spawn_point|сельская местность
p_denmark_spawn_point|сельская местность
p_caitness_priest_spawn_point|сельская местность
p_northumbria_priest_spawn_point|сельская местность
p_norway_priest_spawn_point|сельская местность
p_denmark_priest_spawn_point|сельская местность
p_channel_spawn_point|русло
p_bight_spawn_point|Южная бухта
p_irish_sea_spawn_point|Ирландское море
p_forth_firth_spawn_point|Фёрт-оф-Форт
p_skagerrak_spawn_point|Скагеррак
p_firth_clyde_spawn_point|Ферт-оф-Клайд
p_landing_point|Место высадки
p_the_fleet|Флот
p_transporter|Перевозчик
p_troop_camp_1|Становище воинов
p_troop_camp_2|Становище воинов
p_paganholysites1|Хоф Одина
p_paganholysites2|Хоф Тора
p_oldpagan_hut|Хижина язычника
p_morrigan_lair|Логово Морриган
p_bresail_farm|Ферма Маела Б.
p_bresail_fort|Форт Маела Б.
