
qstr_{reg1}.0|{reg1}.0
qstr_Disable_mod_formatio|Отключить построения в моде:
qstr_Put_player_in_divisi|Поместить игрока в группу:
qstr_{s1}|{s1}
qstr_Army_rotates_to_face|Построение лицом к врагу:
qstr_Prevent_AI_from_taki|Выкл. отсиживание ИИ в обороне:
qstr_Anno_Domini_867|              867 год от Рождества Христова
qstr_We_are_in_the_ninth_|IX Век.^Давно угасло величие Рима,^поглощенное песками времени,^остается несколько веков до^золотого века рыцарей и принцесс.^^Это жестокая, темная и беспощадная^эра грубой силы и выживания, где^каждую ночь перед сном люди^молились, надеясь увидеть новый день.
qstr_It_is_the_age_of_the|Это времена Викингов,^кланов Ирландии, вознесения^Уэссекса и появление^королевства Альба.^^Это то, что вас ожидает^в мире раннего средневековья...
qstr_Choose_Campaign_Type|Выбрать тип кампании:
qstr_Choose_Options.|Выбрать параметры.
qstr_You_can_change_these|Вы можете изменить эти параметры во время игры в меню лагеря.
qstr_ROYAL_SANDBOX_CAMPAI|ПЕСОЧНИЦА ЗА КОРОЛЯ
qstr_LORDLY_SANDBOX_CAMPA|ПЕСОЧНИЦА ЗА ЛОРДА
qstr_SANDBOX_CAMPAIGN|ПЕСОЧНИЦА
qstr_STORYLINE_CAMPAIGN|СЮЖЕТНАЯ КАМПАНИЯ
qstr_Impossible|Хардкор
qstr_Full_Realism|Реализм
qstr_Custom|Ручная настройка
qstr_Easy_Recruitment:|Найм Новобранцев:
qstr_Easy_Levelling:|Повышение Уровня:
qstr_Easy_Upkeep:|Легкий Ремонт:
qstr_Shield_Bash:|Удар Щитом:
qstr_Stamina:|Выносливость:
qstr_Armor_Penalty:|Штраф Брони:
qstr_Rest_Improves_Morale|Отдых:
qstr_Insane_Difficulty:|Безумная Сложность:
qstr_{s4}|{s4}
qstr_You_can_change_diffi|Вы можете изменить настройки сложности.
qstr_Gore:|Кровь:
qstr_Disable_Scenic_Menu:|Отключить анимацию в меню:
qstr_Campaign_type_cannot|После запуска игры невозможно сменить тип кампании.
qstr_More|Больше
qstr_Campaign_Type|Тип кампании
qstr_Difficulty_Type|Сложность игры
qstr_Options|Опции
qstr_These_options_can_be|Вы можете изменить эти параметры во время игры в меню лагеря.
qstr_Reduced_to_1/4__Easi|Снижен до 1/4 (оч. легко)
qstr_Reduced_to_1/2__Easy|Снижен до 1/2 (легко)
qstr_Reduced_to_1/2__Easi|Снижен до 1/2 (оч. легко)
qstr_Reduced_to_3/4__Easy|Снижен до 3/4 (легко)
qstr_Slowest|Очень медленно
qstr_Slower|Медленно
qstr_Faster|Быстро
qstr_Fastest|Очень быстро
qstr_Less|Меньше
qstr_Warning:_The__{s1}__|Внимание! Параметры '{s1}' и '{s2}' для этой настройки нельзя будет отключить после нажатия на кнопку '{s3}'.
qstr_Choose_a_campaign_ty|Выберите тип кампании!
qstr_Storyline_Campaign:_|СЮЖЕТНАЯ КАМПАНИЯ:^Начать игру как главный герой истории.^^ПЕСОЧНИЦА:^Начать длинную, полностью свободную игру.^^ПЕСОЧНИЦА ЗА ЛОРД:^Начать игру как Лорд королевства.^^ПЕСОЧНИЦА ЗА КОРОЛЯ:^Начать игру как Король своего королевства.
qstr_Choose_a_difficulty_|Выберите сложность игры!
qstr_At_Beginner_level_wh|На уровне 'Новичок', при запросе найма новобранцев в деревнях, ответ всегда положительный и не требующий оплаты. Не рекомендуется для игроков, любящих РПГ с полным погружением в игру.
qstr_At_Beginner_level_im|На уровне 'Новичок' улучшение войск упрощается.
qstr_At_Beginner_level_th|На уровне 'Новичок' заработная плата войск игрока снижена на 40%. Кроме того, количество награбленного в монастырях и шанс захвата корабля повышаются.
qstr_Stamina_is_calculate|Выносливость определяется Здоровьем и Атлетическими способностями, влияющими на физическую стойкость во время боя. Когда выносливость персонажа будет истощена, то персонаж не сможет бежать. Так же понизятся в два раза показатели атаки.^^{s8}
qstr_Your_skill_points_wi|Показатели навыков ухудшаются, когда вы надеваете тяжелую броню. Это привносит в игру улучшенный баланс, так как легкие войска становятся более важными. Другое снаряжение может иметь положительное влияние на навыки.^^{s8}
qstr_Your_army_needs_regu|Время от времени ваши войска будут нуждается в отдыхе в поселении, лагере или убежище. Отсутствие отдыха снизит боевой дух войск. Во время отдыха боевой дух будет восполняться.
qstr_Your_enemies_will_ca|Вы наносите лишь половину урона, в то время как ваши противники - двойной.
qstr_Add_decapitation_to_|Добавить кровь и отрубание конечностей.
qstr_Disable_the_3D_view_|Отключить 3D анимацию в меню поселений, для ускорения загрузки на слабых ПК.
qstr_Attack_while_holding|Удар щитом (по умолчанию: удерживайте ПКМ + нажимайте ЛКМ). Небольшая задержка призвана удержать игрока от ошибочного выполнения удара щитом во время обычного сражения.^^ИИ также сможет использовать эту способность.
qstr_The_divisions_of_the|Группы войск игрока не будут применять построения 'Стена Щитов', 'Клик' и 'Квадрат'. Кроме того, меню F4, содержащее выбор построений, больше не будет появляться.^^Ряды построений всегда будут применяться по умолчанию: обычный ряд, плечом к плечу.
qstr_When_multiple_divisi|Группы армии игрока будут перестаиваться каждые несколько секунд, чтобы стоять лицом к центру вражеских сил. Без этой опции группы игрока будут придерживаться направления, что определил игрок, приказав УДЕРЖИВАТЬ ПОЗИЦИЮ.
qstr_The_army_opposing_th|Армия противника во время начала боя больше не будет занимать оборонительную позицию в своей части карты, всегда атакуя войска игрока или его союзников.
qstr_Disable_music_in_bat|Отключить музыку в бою и добавить больше окружающих звуков. Для игроков, любящих полное погружение в игру.
qstr_Set_how_much_damage_|Количество урона, получаемого вашим персонажем.
qstr_Set_how_much_damage_i|Количество урона, получаемого вашей армией.
qstr_Set_how_well_troops_|Насколько хорошо будут сражаться войска. На уровне 'Новичок' войска будут сражаться хуже.
qstr_Campaign_AI_affects_|ИИ кампании влияет на многие аспекты игры, такие как:^- размер отряда бандитов^- потеря/приобретение славы в сражениях^- вербовка Лордов^- налоги^- получение подкреплений Лордами^- реакция Лордов на запросы игрока
qstr_Set_the_running_spee|Скорость перемещения войск во время боя.^^{s8}
qstr_{s2}_{reg0}|{s2} {reg0}
qstr_The_player_may_recei|Во время боя игрок может получить серьезные ранения, ослабляющие его. Целители в крупных городах могут за плату обработать раны, после чего они заживут в течении нескольких дней. После полного заживления ран будут удалены все негативные эффекты с ваших навыков. Если рану не лечить, то через некоторое время она превратится в шрам и негативные последствия будут необратимыми.
qstr_Wounded_troops_take_|Раненые воины получают дополнительный урон от потери крови.^^{s8}
qstr_From_now_on_spawn_33|Отныне появляется на 33% меньше или на 50% больше бандитов, налетчиков и др.
qstr_Sets_the_player_as_c|Сделайте игрока командующим одной из групп, которая на старте битвы будет располагаться позади своего командира, то есть вас (выберите клин и выставьте их на своей точке). Считайте, что они - ваш отряд телохранителей.
qstr_Equipment_may_get_da|Ваше снаряжение изнашивается в боях, что приводит к невозможности его дальнейшего использования. Износ зависит от статистики предмета и навыка 'Ремонтник'. Так же починить снаряжение могут кузницы и оружейники.^^{s8}
qstr_{s3}^^{s4}|{s3}^^{s4}
qstr_Default|По умолчанию
qstr_Randomize|Случайно
qstr_Who_are_you?|Кто вы?
qstr_Be_careful_with_your|Будьте осторожны с выбором.^Он будет влиять на ваши атрибуты, навыки и диалоги.
qstr_Bio:|Биография:
qstr_Gender:|Пол:
qstr_Height:|Рост:
qstr_Age:|Возраст:
qstr_Personality:|Темперамент:
qstr_Greatest_Virtue:|Достоинства:
qstr_Ethnicity:|Внешность:
qstr_Kingdom:|Принадлежит:
qstr_Father_s_Occupation:|Отец:
qstr_Learnt_While_a_Child|Детские навыки:
qstr_Vocation:|Призвание:
qstr_Religion:|Религия:
qstr_Female|Женщина
qstr_Male|Мужчина
qstr_Normal|Норма
qstr_Tall|Высокий
qstr_Short|Низкий
qstr_Young__16_22_years_o|Молодой (16-22)
qstr_Adult__23_40_years_o|Взрослый (23-40)
qstr_Elder__40_or_more_ye|Пожилой (40>)
qstr_Sanguine|Сангвиник
qstr_Choleric|Холерик
qstr_Melancholic|Меланхолик
qstr_Phlegmatic|Флегматик
qstr_Justice|Справедливость
qstr_Temperance|Сдержанность
qstr_Fortitude|Стойкость
qstr_Wisdom|Мудрость
qstr_Anglo_Saxon|Англосакс
qstr_Norse|Норманн
qstr_Frisian|Фриз
qstr_Irish|Ирландец
qstr_Briton|Бритт
qstr_Scoto_Pict|Шотландец
qstr_Foreigner|Иноземец
qstr_{s0}|{s0}
qstr_Outlaw|Преступник
qstr_Peasant|Крестьянин
qstr_Priest|Священник
qstr_Craftsman|Ремесленник
qstr_Merchant|Торговец
qstr_Noble|Знатный
qstr_Farming|Фермерство
qstr_Stealing|Воровство
qstr_Oratory|Красноречие
qstr_Crafts|Ремесло
qstr_Martial_Arts|Боевые Искусства
qstr_Slave|Слуга
qstr_Traveler|Странник
qstr_Hunter|Охотник
qstr_Landowner|Землевладелец
qstr_Christian|Христианство
qstr_Pagan|Язычество
qstr_This_option_is_not_a|Данные опции недоступны в кампаниях 'ЛОРД' и 'КОРОЛЕВСТВО'.
qstr_Your_Kingdom|Ваше Королевство
qstr_Name_^{playername}|Имя: ^{playername}
qstr_Level:|Уровень:
qstr_Health:|Здоровье:
qstr_Renown:|Слава:
qstr_Reputation:|Репутация:
qstr_Right_to_Rule:|Право на трон:
qstr_Money:|Деньги:
qstr_Scandinavian_Gods|Язычество
qstr_Christianity|Христианство
qstr_Can_read:|Умение читать:
qstr_Reading:|Чтение:
qstr_No_books.|Нет
qstr_Trait:|Черты:
qstr_Special_Trait:|Особые черты:
qstr_Dungeon_Master|Мастер Темниц
qstr_Ladies__Man|Дамский Угодник
qstr_Wine_Connoisseur|Винный Ценитель
qstr_Scars:|Шрамы:
qstr_{reg1}|{reg1}
qstr_Wounds:|Раны:
qstr_Enemies_Killed:|Убито врагов:
qstr_Enemies_Wounded:|Ранено врагов:
qstr_Allies_Killed:|Убито союзников:
qstr_Allies_Wounded:|Ранено союзников:
qstr_Story|История
qstr_Attributes/Skills|Навыки
qstr_Wounds|Раны
qstr_Quest|Задания
qstr_Party|Отряд
qstr_Relations|Отношения
qstr_Budget|Смета
qstr_Statistics|Статистика
qstr_Companions|Спутники
qstr_Factions|Фракции
qstr_Known_Lords|Знакомые Лорды
qstr_Courtship|Ухаживания
qstr_Ships|Корабли
qstr_Level:_{reg4}_^Days_|Уровень: {reg4} ^Прошло дней: {reg5}.
qstr_Settlements_Owned_by|Владения: {reg0}
qstr_Hostile_Lords:_{reg0|Враждебные Лорды: {reg0}
qstr_You_need_to_be_the_r|Вы должны стать Королем для открытия панели управления королевством!
qstr_^^^^Wounds_Informati|^^^^ИНФОРМАЦИЯ О РАНАХ:^^{s3}^^----------^^{s4}^^----------^^{s5}^^----------^^{s6}
qstr_Resume_Traveling|Продолжить
qstr_Your_Camp|Ваш Лагерь
qstr_You_stop_to_rest.^He|Вы остановились передохнуть.^Здесь вы можете управлять ресурсами своего лагеря.
qstr_Send_Scouts:|Разведчики:
qstr_^Sending_scouts_ahea|^Отправьте разведчиков для повышения шансов на обнаружение врага. Эти люди всегда в движении и подвергаются риску, так что продолжительность их жизни крайне мала.
qstr_Thirty_men_are_neede|Нужно 30 воинов в отряде.
qstr_Send_Foragers:|Фуражиры:
qstr_^Send_men_to_forage_|^Отправьте людей для поиска пищи. Они будут возвращаются с пропитанием каждые 12 часов.
qstr_Forty_men_are_needed|Нужно 40 воинов в отряде.
qstr_Fortify_Camp:|Укрепления:
qstr_^Fortify_your_camp_w|^Укрепите свой лагерь, усилив его обороноспособность. Люди, участвующие в этой сложной работе, должны получать в награду 200 шиллингов, иначе у вас будут неприятности.
qstr_Sixty_men_are_needed|Нужно 60 воинов в отряде.
qstr_Your_Refuge|Убежище
qstr_Wait_Here|Ждать здесь
qstr_Troop_Tree|Древо войск
qstr_Second_Outfit|Мирный наряд
qstr_Read_Book|Прочесть книгу
qstr_Retire|Отставка
qstr_Recruit_Prisoners|Вербовка
qstr_Followers__Camp|Последователи
qstr_Visit_Camp|Посетить лагерь
qstr_Check_Location|Осмотреться
qstr_You_cannot_build_you|Вы не можете построить убежище так близко к поселению.
qstr_These_too_close_to_a|Слишком близко к поселению для установки лагеря.
qstr_You_cannot_read._You|Вы не умеете читать. Этому можно научиться в монастыре.
qstr_Your_army_morale_is_|Боевой дух отряда низок!
qstr_No_one_is_interested|Никто из пленников не заинтересован
qstr_Back_to_Siege|Продолжить осаду
qstr_Your_Siege_Camp|Осадный лагерь
qstr_You_are_besieging_th|Вы осадили вражеское поселение.^Здесь вы можете управлять ресурсами лагеря.
qstr_^Send_men_to_forage_n|^Отправить людей найти пропитание. Они будут возвращаться с пропитанием каждые 12 часов.
qstr_Your_Sea_Camp|Морской лагерь
qstr_The_ship_is_at_the_m|Корабль находится во власти ветра, когда вы встаете на дрейф.^Здесь вы можете управлять ресурсами своего лагеря.
qstr_Calm^^The_sails_like|Штиль^^Паруса спокойны, как и само море.
qstr_Light_breeze^^On_the|Легкий бриз^^На море заметны небольшие всплески.^Паруса начинают оживать.
qstr_Moderate_breeze^^Sma|Умеренный ветер^^Маленькие волны, с ломающимися гребнями, плавно бегут по морю.^Парус наполняется ветром.
qstr_Strong_breeze^^Moder|Сильный ветер^^Волны, словно тянутся к небу, набирая силу и высоту.^Паруса полностью во власти ветра и скоро должны быть спущены.
qstr_High_wind^^There_are|Ураган^^Корабль бьется о волны, громко разбивая их. Паруса спущены.^Существует вероятность повреждения корабля.
qstr_Gale^^The_sea_is_vio|Буря^^Море испытывает на прочность как ваш корабль, так и нервы. Паруса полностью свернуты.^Высокая вероятность повреждения корабля.
qstr_Storm^^The_waves_tos|Шторм^^Волны вырастают величиной со скалы, играя кораблем, как ребенок игрушкой, вцепившись кто за что может и привязав себя, люди молятся, наверное, всем богам, каких знают, чтобы они спасли их души и не дали волнам перевернуть корабль.
qstr_Number_of_sailors:|Число гребцов:
qstr_{reg5}|{reg5}
qstr_Speed_from_sailors:|Допустимая скорость:
qstr_{reg6}|{reg6}%
qstr_Fleet|Флот
qstr_Followers_Camp|Лагерь Последователей
qstr_Your_army_is_accompa|С ростом вашей армии к вам все больше прибиваются последователи из разных слоев общества.^^В итоге, это дает легкий доступ ко многим услугам, которые улучшают боевой дух воинов, но замедляют продвижение вашего войска.^^Вы можете отказаться от их услуг в любое время, но это повлияет на боевой дух армии.^^Можно увеличить число ваших последователей людьми, которые встречаются в приключениях. Составлять различные группы войск с ними, собирая в группы, типа священников, женщин и других, и предоставлять им различные войска для их защиты.^^Если вы решили сократить размер своей армии ниже 300 человек, или же, если ваша армия страдает высокими потерями и частыми поражениями, то последователи могут отказаться от вас.
qstr_Smith|Кузнец
qstr_Healer|Целитель
qstr_Mules|Конюх
qstr_Slave_Trader|Работорговец
qstr_Dismiss|Разогнать
qstr_Kingdom_Report|Королевский^Отчет
qstr_{reg59?Queen:King}:|Правитель:
qstr_{reg59?Queen:King}_s|Города Правителя:
qstr_{reg59?Queen:King}_s_|Крепости Правителя:
qstr_{reg59?Queen:King}_s_V|Деревни Правителя:
qstr_Lords:|Лорды:
qstr_Caravans:|Караваны:
qstr_Kingdom_Towns:|Города Королевства:
qstr_Kingdom_Forts:|Крепости Королевства:
qstr_Kingdom_Villages:|Деревни Королевства:
qstr_Places_without_Lord:|Бесхозные Поселения:
qstr_Prisoner_Lords:|Лорды Пленники:
qstr_Minister:|Советник:
qstr_Tax_Enforcement:|Налоги:
qstr_Yes__costs_3000_peni|Да (3000 шиллингов/неделя)
qstr_No__tax_revenue_lowe|Нет (низкие налоги)
qstr_{reg59?Queen:King}_s_A|Армия Правителя:
qstr_Royal_Decree|Королевский указ
qstr_Summary|Общая информация
qstr_Lords|Лорды
qstr_Economy|Экономика
qstr_Diplomacy|Дипломатия
qstr_Armies|Армия
qstr_Centers|Поселения
qstr_Rename|Переименовать
qstr_Map_Colour|Цвет на карте
qstr_Make_a_Royal_Decree:|КОРОЛЕВСКИЙ УКАЗ:^^Исполнение королевского указа займет несколько часов,^поскольку гонцам требуется время, чтобы достичь ваших вассалов.^После выбора указа нажмите 'ГОТОВО' для подтверждения.
qstr_Gather_Our_Forces|Собрать все силы
qstr_Defend_the_Kingdom|Защищать королевство
qstr_Current_decree:_{s4}|            Текущий указ: {s4}
qstr_You_order_the_lords_|Вы приказали Лордам прибывать к вам со своими войсками.
qstr_You_order_the_kingdo|Вы приказали всем защищать королевство.
qstr_You_cannot_do_this_n|Вы не можете этого сделать.
qstr_Exhausted|  Измучен
qstr_Very_Tired|  Утомлен
qstr_Tired|Устал
qstr_High|Свеж
qstr_What_name_would_you_|Как вы хотите назвать убежище?
qstr_Save_it_as:_{s5}.|Сохранить как: {s5}.
qstr_You_head_into_town_t|Вы отправляетесь в город, чтобы выбрать вещи для оснащения войск...
qstr_Penings:_{reg0}|Шиллинги: {reg0}
qstr_Save_for_Wages:_|Сохранено для оплаты войск:
qstr_Reset|Сбросить
qstr_Commit|Совершить
qstr_Melee_Weapons:|Оружие ближнего боя:
qstr_Ranged_Weapons:|Оружие дальнего боя:
qstr_Armor:|Броня:
qstr_Horses:|Лошади:
qstr_You_toss_the_offendi|Вы возвращаете украденные вещи назад!
qstr_You_make_your_big_pu|Вы совершили покупку!
qstr_From_Troop:_|
qstr_{s1}_or_{s2}|{s1} или {s2}
qstr__Click_on_a_unit_for|(Нажмите на война для просмотра деталей)
qstr_{reg2}|{reg2}
qstr_Do_you_want_to_save_|Сохранить игру?
qstr_Yes.|Да.
qstr_No.|Нет.
qstr_On_several_occasions|На протяжении всей жизни вы встречали странные латинские буквы и поэтому быстро поняли как читать. Возможно, со временем, вы так же сможете и писать!^^Для этого вам придется провести неделю в монастыре. Хотите ли вы научиться читать?
qstr_No_one_here_wants_to|Никто не принимает вашего предложения.
qstr_One_{s3}_is_willing_|Один {s3} готов следовать за вами.
qstr_{reg5}_{s3}_are_will|{reg5} {s3} готовы следовать за вами.
qstr_You_need_to_get_the_|Вам нужно получить разрешение у правителя этих земель, чтобы нанимать здесь новобранцев.
qstr_Recruit_them__{reg6}|Нанять ({reg6} шиллингов).
qstr_One_{s3}_volunteers_|Один {s3} пожелал следовать за вами.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} пожелали следовать за вами.
qstr_You_need_to_get_the_p|Вам нужно получить разрешение у старосты, чтобы нанимать здесь новобранцев.
qstr_My_Boats|Мои корабли
qstr_Boats_for_Sale|Корабли на продажу
qstr_No_ships_for_sale^in|В этом городе^нет кораблей на продажу.
qstr_No_Name|Безымянный
qstr_{reg7}._Ship|Корабль #{reg7}
qstr_Flagship|Флагман
qstr_Very_Good|Очень хорошее
qstr_Good|Хорошее
qstr_Acceptable|Нормальное
qstr_Bad|Плохое
qstr_Very_Bad|Очень плохое
qstr_Dangerous|Опасное
qstr_Repair:_{reg8}_penin|Ремонт: {reg8} шиллингов
qstr_Type:_{s7}^Wood:_{s6|Тип: {s7}^Древесина: {s6}^Состояние: {s1}^Скорость: {reg1} узлов^Экипаж: {reg6} человек^Цена: {reg7} шиллингов^{s2}
qstr_Repair_Ship|Починить Корабль
qstr_Customize_Ship|Настройки Корабля
qstr_Sell_Ship|Продать Корабль
qstr_Buy_Ship|Купить Корабль
qstr_Are_you_sure_you_wan|Вы уверены, что хотите сделать это?
qstr_Leave_ship_at_the_sh|Оставить корабль на берегу
qstr_Next_ship|Следующий
qstr_Fleet_Capacity:|Вместимость флота:
qstr_{reg1}/{reg2}|{reg1}/{reg2}
qstr_You_cannot_buy_this_|Вы не можете купить этот корабль. Навык 'Викинг' слишком низок.
qstr_You_cannot_buy_this_b|Вы не можете купить этот корабль. Нет навыка 'Викинг'.
qstr_You_cannot_buy_this_bo|Вы не можете купить этот корабль. Навык 'Викинг' не достаточно высок.
qstr_You_cannot_buy_this_boa|Вы не можете купить этот корабль. У вас не хватает денег.
qstr_You_can_t_leave_your|Вы не можете оставить свой последний корабль на берегу.
qstr_You_can_t_leave_this|Вы не можете оставить этот корабль на берегу, иначе вашей команде не найдется места на других кораблях.
qstr_{s1}_s_Ships|Корабли {s1}
qstr_You_need_to_get_clos|Вы должны причалить ближе к берегу, если хотите оставить там корабль.
qstr_You_cannot_repair_th|Вы не можете починить этот корабль.^У вас не хватает денег.
qstr_No_ships_for_sell^in|Нет кораблей в продаже^в этом городе.
qstr_Wood:_{s0}^|Древесина: {s0}^
qstr_custom|Обычный
qstr_blue_and_white|Бело-синий
qstr_red_and_white|Бело-красный
qstr_rich_striped|Полосато-янтарный
qstr_green_and_yellow|Желто-зеленый
qstr_red|Красный
qstr_blue_and_red|Красно-синий
qstr_plain|Простое
qstr_blue_and_yellow|Желто-синий
qstr_Sail:_{s0}^|Парус: {s0}^
qstr_tarred|Просмоленный
qstr_tarred_and_red|Просмолено-красный
qstr_varnished|Лакированный
qstr_varnished_and_purple|Лакированно-фиолетовый
qstr_blue|Синий
qstr_blue_red_and_green|Сине-красно-зеленый
qstr_green|Зеленый
qstr_Finish:_{s0}^|Покрытие: {s0}^
qstr_Price:_{reg7}_pening|Цена: {reg7} шиллингов
qstr_{s1}{s2}{s3}{s4}|{s1}{s2}{s3}{s4}
qstr_Change_Finish|Изменить Покрытие
qstr_Change_Sail|Изменить Парус
qstr_Apply|Применить
qstr_Only_ships_made_of_o|Покрытие наносится только на корабли из дуба.
qstr_You_don_t_have_enoug|У вас не хватает денег.
qstr_Accept|Принять
qstr_Dismiss_Staff|Уволить работника
qstr_Recruit_staff_for_yo|Нанять работника в убежище:
qstr_^Hiring_staff_has_bo|^Найм персонала имеет как первоначальные, так и последующие затраты.^Хорошая репутация и внушительное убежище привлечет больше разнообразных кандидатов.
qstr_Description:|Описание:
qstr_Captain:|Капитан:
qstr_Priest:|Священник:
qstr_Bard:|Бард:
qstr_Bottler:|Трактирщик:
qstr_Happy_Widow:|Счастливая вдова:
qstr_Trainer:|Наставник:
qstr_Smith:|Кузнец:
qstr_Armorer:|Оружейник:
