str_october_reg1_reg2|Октябрь {reg1}, {reg2}
str_november_reg1_reg2|Ноябрь {reg1}, {reg2}
str_december_reg1_reg2|Декабрь {reg1}, {reg2}
str_town_nighttime| Сейчас поздняя ночь, и честных людей на улице не встретишь.
str_door_locked|Дверь заперта.
str_castle_is_abondened|Похоже, этот форт никем не занята.
str_town_is_abondened|У этого города нет защитников.
str_place_is_occupied_by_player|Это место занято вашими войсками.
str_place_is_occupied_by_enemy|Это место занято вражескими войсками.
str_place_is_occupied_by_friendly|Это место занято дружественными войсками.
str_do_you_want_to_retreat|Вы действительно хотите отступить?
str_give_up_fight|Оставить поединок?
str_do_you_wish_to_leave_tutorial|Прекратить обучение?
str_do_you_wish_to_surrender|Сдаться?
str_can_not_retreat|Отступать нельзя, рядом враги!
str_s1_joined_battle_enemy|{s1} присоединяется к битве на стороне врага.
str_s1_joined_battle_friend|{s1} присоединяется к битве на вашей стороне.
str_entrance_to_town_forbidden|Городские стражи высматривают лазутчиков. Вы замечены и вас пытаются схватить.
str_sneaking_to_town_impossible|Городская стража поднята на ноги. Вы не сможете проскользнуть мимо, как бы вы ни таились.
str_battle_won|ВЫ ВЫИГРАЛИ БОЙ!
str_battle_lost|ВЫ ПРОИГРАЛИ БОЙ!
str_attack_walls_success|В кровавом бою ваши доблестные бойцы отогнали врага от стен.
str_attack_walls_failure|Ваши бойцы гибнут один за другим, бросаясь на стены. Немногие выжившие после штурма беспорядочно отступают, ступая по трупам и поскальзываясь на кишках и крови своих товарищей.
str_attack_walls_continue|В этой кровавой битве обе стороны сражаются с равной силой. Несмотря на все усилия ваших войск, крепость остается у врага.
str_order_attack_success|Ваши люди храбро сражались и победили врага.
str_order_attack_failure|Вы в отчаянии смотрите, как враг убивает ваших людей и оттесняет горстку выживших.
str_order_attack_continue|Хотя стычка переросла в довольно крупное сражение, вашим войскам не удалось одержать победу.
str_join_order_attack_success|Ваши люди сражались бок о бок с союзниками и победив врага, разделили с ними славу.
str_join_order_attack_failure|Вы в отчаянии смотрите, как враг убивает ваших людей и оттесняет горстку выживших.
str_join_order_attack_continue|Несмотря на крупную стычку, ни вашим, ни союзным войскам не удалось одержать победу.
str_siege_defender_order_attack_success|Гарнизон храбро и умело удерживает стены, отбивает атаку врага и превращает свое поражение в полноценную победу.
str_siege_defender_order_attack_failure|Нападение быстро переходит в кровавую бойню. Отважный отпор не дает результатов: гарнизон слишком мал, чтобы удержать стены, и все защитники вскоре погибают от мечей врага.
str_siege_defender_order_attack_continue|Очередная попытка захватить поселение так ни к чему и не приводит, но врагов слишком много, чтобы защитники могли праздновать победу. Осада продолжается.
str_hero_taken_prisoner|{s1} из {s3} был взят в плен {s2}.
str_hero_freed|{s1} из {s3} был освобожден из плена {s2}.
str_center_captured|{s2} взяли {s1} из {s3}.
str_troop_relation_increased|{s1} улучшает свое мнение о Вас с {reg1} до {reg2}.
str_troop_relation_detoriated|{s1} ухудшает свое мнение о Вас с {reg1} до {reg2}.
str_faction_relation_increased|{s1} улучшает свое мнение о Вас с {reg1} до {reg2}.
str_faction_relation_detoriated|{s1} ухудшает свое мнение о Вас с {reg1} до {reg2}.
str_party_gained_morale|Ваш отряд получает {reg1} очков боевого духа.
str_party_lost_morale|Ваш отряд теряет {reg1} очков боевого духа.
str_other_party_gained_morale|{s1} получает {reg1} единиц боевого духа.
str_other_party_lost_morale|{s1} теряет {reg1} единиц боевого духа.
str_qst_follow_spy_noticed_you|Шпион заметил вас! Он убегает!
str_duplicate|отец
str_s3s_s2|{s3} {s2}
str_s5_is_s51|{s5} в {s51}
str_s5_is_the_ruler_of_s51|{s5} правит в {s51}.
str_s5_is_a_nobleman_of_s6|{s5} - дворянин из {s6}. 
str_relation_mnus_100|Мстительные -100
str_relation_mnus_90|Мстительные -90
str_relation_mnus_80|Мстительные -80
str_relation_mnus_70|Ненавистные -70
str_relation_mnus_60|Ненавистные -60
str_relation_mnus_50|Враждебные -50
str_relation_mnus_40|Сердитые -40
str_relation_mnus_30|Возмущенные -30
str_relation_mnus_20|Неприветливые -20
str_relation_mnus_10|Подозрительные -10
str_relation_plus_0|Безразличные 0
str_relation_plus_10|Отзывчивые +10
str_relation_plus_20|Гостеприимные +20
str_relation_plus_30|Благосклонные +30
str_relation_plus_40|Поддерживающие +40
str_relation_plus_50|Дружелюбные +50
str_relation_plus_60|Любезные +60
str_relation_plus_70|Теплые +70
str_relation_plus_80|Верные +80
str_relation_plus_90|Преданные +90
str_relation_mnus_100_ns|{s60} ваш заклятый враг -100
str_relation_mnus_90_ns|{s60} хочет вам отомстить -90
str_relation_mnus_80_ns|{s60} хочет вам отомстить -80
str_relation_mnus_70_ns|{s60} ненавидит вас -70
str_relation_mnus_60_ns|{s60} ненавидит вас -60
str_relation_mnus_50_ns|{s60} ненавидит вас -50
str_relation_mnus_40_ns|{s60} злится на вас -40
str_relation_mnus_30_ns|{s60} возмущается вашим поведением -30
str_relation_mnus_20_ns|{s60} относится к вам неприветливо -20
str_relation_mnus_10_ns|{s60} относится к вам подозрительно -10
str_relation_plus_0_ns|{s60} относится к вам равнодушно 0
str_relation_plus_10_ns|{s60} относится к вам с отзывчивостью +10
str_relation_plus_20_ns|{s60} относится к вам гостеприимно +20
str_relation_plus_30_ns|{s60} относится к вам благосклонно +30
str_relation_plus_40_ns|{s60} оказывает вам поддержку +40
str_relation_plus_50_ns|{s60} относится к вам дружелюбно +50
str_relation_plus_60_ns|{s60} относится к вам любезно +60
str_relation_plus_70_ns|{s60} относится к вам тепло +70
str_relation_plus_80_ns|{s60} ваш надежный союзник +80
str_relation_plus_90_ns|{s60} ваш преданный друг +90
str_relation_reg1| Отношение: {reg1}
str_center_relation_mnus_100|^Население отчаянно ненавидит вас
str_center_relation_mnus_90|^Население очень сильно ненавидит вас
str_center_relation_mnus_80|^Население сильно ненавидит вас
str_center_relation_mnus_70|^Население ненавидит вас
str_center_relation_mnus_60|^Население испытывает к вам ненависть
str_center_relation_mnus_50|^Население настроено к вам чрезвычайно враждебно
str_center_relation_mnus_40|^Население настроено к вам очень враждебно
str_center_relation_mnus_30|^Население настроено к вам враждебно
str_center_relation_mnus_20|^Население против вас
str_center_relation_mnus_10|^Население противостоит вам
str_center_relation_plus_0|Народ безразличен к вам
str_center_relation_plus_10|^Население принимает вас
str_center_relation_plus_20|^Население относится к вам с отзывчивостью
str_center_relation_plus_30|^Население в чем-то вас поддерживает
str_center_relation_plus_40|^Население вас поддерживает
str_center_relation_plus_50|^Население поддерживает вас во всем
str_center_relation_plus_60|^Население верно вам
str_center_relation_plus_70|^Население верно вам во всем
str_center_relation_plus_80|^Население преданно вам
str_center_relation_plus_90|^Население отчаянно преданно вам
str_town_prosperity_0|^Город {s60} нестерпимо беден.
str_town_prosperity_10|^Нищий город {s60} практически опустел.
str_town_prosperity_20|^Город {s60} выглядит пустым и обветшалым.
str_town_prosperity_30|^Город {s60} выглядит бедным и заброшенным.
str_town_prosperity_40|^Город {s60} с трудом борется за существование.
str_town_prosperity_50|^Город {s60} ничем не примечателен.
str_town_prosperity_60|^Город {s60} процветает.
str_town_prosperity_70|^Город {s60} преуспевающий и активный.
str_town_prosperity_80|^Город {s60} выглядит зажиточным и благоустроенным.
str_town_prosperity_90|^{s60} - состоятельный, процветающий город.
str_town_prosperity_100|^В городе {s60} жизнь бьет ключом.
str_fort_prosperity_0|^Форт {s60} нестерпимо беден.
str_fort_prosperity_10|^Нищий город {s60} практически опустел.
str_fort_prosperity_20|^Форт {s60} выглядит пустым и обветшалым.
str_fort_prosperity_30|^Форт {s60} выглядит бедным и заброшенным.
str_fort_prosperity_40|^Форт {s60} с трудом борется за существование.
str_fort_prosperity_50|^Форт {s60} ничем не примечателен.
str_fort_prosperity_60|^Форт {s60} процветает.
str_fort_prosperity_70|^Форт {s60} преуспевающий и активный.
str_fort_prosperity_80|^Форт {s60} выглядит зажиточным и благоустроенным.
str_fort_prosperity_90|^{s60} - состоятельный, процветающий форт.
str_fort_prosperity_100|^В форте {s60} жизнь бьет ключом.
str_village_prosperity_0|Деревня {s60} нестерпимо бедна.
str_village_prosperity_10|^Нищая деревня {s60} практически опустела.
str_village_prosperity_20|^Деревня {s60} выглядит пустой и обветшалой.
str_village_prosperity_30|^Деревня {s60} выглядит бедной и заброшенной.
str_village_prosperity_40|^Деревня {s60} с трудом борется за существование.
str_village_prosperity_50|^Деревня {s60} ничем не примечательна.
str_village_prosperity_60|^Деревня {s60} процветает.
str_village_prosperity_70|^Деревня {s60} преуспевает.
str_village_prosperity_80|^Деревня {s60} выглядит зажиточной и благоустроенной.
str_village_prosperity_90|^Деревня {s60} выглядит богатой и процветающей.
str_village_prosperity_100|^Деревня {s60}, окруженная обширными плодородными полями, выглядит невероятно богатой.
str_town_alt_prosperity_0|Даже редкие оставшиеся в лавках товары не по карману здешним обитателям. Люди истощены, их животные больны и умирают, инструменты и предметы обихода пришли в негодность. На улицах пусто, слышны лишь жужжание мух, да вой бродячих собак. Кое-где сидят больные старики и отощавшие дети. Везде ощущается зловоние и дух нищеты.
str_town_alt_prosperity_20|На рынке ворчат о непомерных ценах на обычные вещи, да и сами лавки полупусты. Люди исхудали, их животные истощены, а здания и предметы обихода разваливаются от ветхости. Многие из местных уже покинули отчий дом в надежде на лучшее будущее.
str_town_alt_prosperity_40|На рынке порой ворчат о высоких ценах на повседневные вещи, но товаров в лавках довольно много. Иногда взгляд натыкается на закрытые магазинчики, заколоченные дома и брошенные телеги, но жизнь идет своим чередом.
str_town_alt_prosperity_60|Здешние люди выглядят сытыми и относительно неплохо одеты. Ремесленники трудятся над новыми изделиями, а в город из окрестных сел в поисках лучшей доли стекается народ.
str_town_alt_prosperity_80|Дома, улицы и даже стены этого города чисты и опрятны. На рыночных площадях полно заезжих покупателей, прибывших сюда в поисках товаров и работы. Несмолкаемый перестук молотков и стрекотание ткацких станков говорят о благополучии горожан.
str_village_alt_prosperity_0|Лишь самые сильные землепашцы еще могут выйти на заросшие бурьяном поля. Остальные селяне больны и голодны. Те, кто еще мог передвигаться, предпочли уйти из этих мест. Тощие животные еле дышат и скоро погибнут от голода или будут съедены хозяевами. У окраины и вдоль дорог солнце выбеливает скелеты павшего скота.
str_village_alt_prosperity_20|На полях у деревни можно увидеть малочисленный скот и редкие фигурки селян. Даже пришлому сразу становится ясно, что большинство местных ушли куда глаза глядят. Плуги и бороны покрыты ржавчиной, а земля родит больше сорняков, чем пшеницы.
str_village_alt_prosperity_40|На полях и в садах в бесконечных заботах трудятся люди. Селяне выглядят сытыми, а их животные - здоровыми. Впрочем, некоторые земельные наделы пустуют, а часть домов покосилась. Видно, в деревне не хватает рук, чтобы сделать всю накопившуюся работу.
str_village_alt_prosperity_60|На полях и в садах деревни полно людей, которые трудятся от рассвета до заката. Амбары ломятся от зерна, а риги - от душистого сена. Земля дает хороший урожай, скот тучен, а жители готовы к завтрашнему дню.
str_village_alt_prosperity_80|На полях и в садах деревни полно людей, земельные угодья тут и там прорезают оросительные каналы. Похоже, у здешних жителей хватает времени и сил на то, чтобы облагораживать свои наделы. Вокруг много наемных работников, что только приумножает богатства этой деревни.
str_oasis_village_alt_prosperity_0|Огороды практически не плодоносят, каналы которые орошают их забиты илом. Горстка жителей сидит удручённая и недовольная на окраине деревни. Рабочий скот уже давно сдох от голода или был съеден, хотя несколько туш до сих пор лежат на окраине и их кости обгладывают волки.
str_oasis_village_alt_prosperity_20|Сады и пашни практически не плодоносят, канавы которые орошают их забиты илом. Горстка жителей сидит удручённая и недовольная на окраине деревни. Рабочий скот уже давно сдох от голода или был съеден, хотя несколько туш до сих пор лежат на окраине и их кости обгладывают волки.
str_oasis_village_alt_prosperity_40|Мужчины и женщины вяло работают в садах, корзины с урожаем полупустые, хоть орошение в деревне налажено хорошо, всё же жителям не хватает воды для полива садов и огородов.
str_oasis_village_alt_prosperity_60|Все в этом поселении дышит жизнью. В садах и огородах трудятся жители, в стоилах достаточно скота, колёса мельниц скрипят, влекомые водой.
str_oasis_village_alt_prosperity_80|Поселение процветает. Кругом трудятся люди. Везде видны немалые запасы. Пастбища полны скота.
str_acres_grain|акров хлебных полей
str_acres_orchard|акров огородов и садов.
str_acres_oasis|акров орошаемых садов
str_looms|станков
str_boats|лодок
str_head_cattle|голов коров
str_head_sheep|голов овец
str_mills|мельниц
str_kilns|печей
str_pans|чанов
str_deposits|амбаров
str_hives|ульев
str_breweries|пивоварен
str_presses|давилен
str_smithies|кузниц
str_caravans|наземных караванов
str_traps|ловушек
str_gardens|садиков
str_tanneries|дубильных чанов
str_master_miller|Главный мельник
str_master_brewer|Главный пивовар
str_master_presser|Главный давильщик
str_master_smith|Главный кузнец
str_master_tanner|Главный дубильщик
str_master_weaver|Главный ткач
str_master_dyer|Главный красильщик
str_war_report_minus_4|мы почти проиграли войну
str_war_report_minus_3|положение незавидное
str_war_report_minus_2|наши дела идут не очень хорошо
str_war_report_minus_1|мы можем победить, если соберемся
str_war_report_0|наши и вражеские силы равны
str_war_report_plus_1|у нас есть все шансы выиграть войну
str_war_report_plus_2|дела идут хорошо
str_war_report_plus_3|мы с легкостью победим их
str_war_report_plus_4|мы почти выиграли войну
str_persuasion_summary_very_bad|Вы делаете все возможное, но {s50} не желает вас слушать. Вперемешку с разумными доводами вы приводите неубедительные и чувствуете, что повторяетесь. По окончании беседы вы понимаете, что не добились ровным счетом ничего, но выставили себя на посмешище. Неудивительно, что {s50} не впечатлен.
str_persuasion_summary_bad|Вы пытаетесь убедить {s50}, но {reg51 она: он}. В итоге ваши самые веские доводы перестают казаться убедительными даже вам. {s50}, ясное дело, остается при своем мнении.
str_persuasion_summary_average|{s50} искушен в спорах и на всякий ваш аргумент находит логичное возражение. В итоге разговор ни к чему вас не приводит.
str_persuasion_summary_good|Вы не лезете за словом в карман и приводите веские аргументы, так что {s50} приходится с вами согласиться. Однако {reg51?у нее:у него} еще остались некоторые сомнения касательно вашей просьбы.
str_persuasion_summary_very_good|Вы произносите пламенную речь, которая музыкой льется в уши слушателей. Кажется, весь мир затих и внимает вам. {s50} растроган вашими словами и соглашается вам помочь.
str_secret_sign_1|Шкаф пляшет в ночи...
str_secret_sign_2|Я продаю лучшие византийские гобелены. Не желаете взглянуть?
str_secret_sign_3|Знакомый моего друга прислал...
str_secret_sign_4|С востока дует сильный ветер, и река становится красной...
str_countersign_1|Он танцует для шкафа или для подсвечника?
str_countersign_2|Да, синий есть?
str_countersign_3|Но, друг мой, у знакомого вашего друга никогда не будет такого друга, как я.
str_countersign_4|Вы заболели?
str_name_1|Аэлл
str_name_2|Олдьини
str_name_3|Бёрдан
str_name_4|Кэдмон
str_name_5|Карл
str_name_6|Конрад
str_name_7|Эдбалд
str_name_8|Орфей
str_name_9|Ифа
str_name_10|Апвольд
str_name_11|Хагест
str_name_12|Хорса
str_name_13|Осред
str_name_14|Тридвольф
str_name_15|Виктрид
str_name_16|Воффа
str_name_17|Сини
str_name_18|Канедог
str_name_19|Иднаф
str_name_20|Дойфриг
str_name_21|Трини
str_name_22|Кадфан
str_name_23|Кадвоген
str_name_24|Ривалон
str_name_25|Хьювил
str_surname_1|{s50} из Лунденвик
str_surname_2|{s50} из Дорк Сестер
str_surname_3|{s50} из Беббанбур
str_surname_4|{s50} из Каэр Вендолеу
str_surname_5|{s50} из Эмай Махи
str_surname_6|{s50} из Киррен Сестер
str_surname_7|{s50} из Дин Дридхау
str_surname_8|{s50} из Лисидфельт
str_surname_9|{s50} из Каэр Ллоэв
str_surname_10|{s50} из Кельн Сестер
str_surname_11|{s50} из Дин Эрас
str_surname_12|{s50} из Норвик
str_surname_13|{s50} из Каер Ридэрч
str_surname_14|{s50} из Двин Оллай
str_surname_15|{s50} из Денисбурн
str_surname_16|{s50} из Дун Бисед
str_surname_17|{s50} из Сванавик
str_surname_18|{s50} из Водетун
str_surname_19|{s50} из Бадун
str_surname_20|{s50} из Лейм ан Эйх
str_surname_21|{s50} Длинный
str_surname_22|{s50} Тощий
str_surname_23|{s50} Длинобородый
str_surname_24|{s50} Воробей
str_surname_25|{s50} Бедняк
str_surname_26|{s50} Шрам
str_surname_27|{s50} Огонёк
str_surname_28|{s50} Зелённый
str_surname_29|{s50} Рыжий
str_surname_30|{s50} Чёрный
str_surname_31|{s50} Хвастун
str_surname_32|{s50} Ясноглазый
str_surname_33|{s50} Бравый
str_surname_34|{s50} Смельчак
str_surname_35|{s50} Лис
str_surname_36|{s50} Трусливый
str_surname_37|{s50} Весельчак
str_surname_38|{s50} Быстрый
str_surname_39|{s50} Певец
str_surname_40|{s50} Лысый
str_surname_41|{s50} Горячая голова
str_surnames_end|фамилии окончены
str_number_of_troops_killed_reg1|Убито: {reg1}
str_number_of_troops_wounded_reg1|Ранено: {reg1}
str_number_of_own_troops_killed_reg1|Убито дружественных воинов: {reg1}
str_number_of_own_troops_wounded_reg1|Ранено дружественных воинов: {reg1}
str_retreat|Отступаем!
str_siege_continues|Бой продолжается...
str_casualty_display|Ваши потери: {s10}^Потери врага: {s11}{s12}
str_casualty_display_hp|^Вы ранены и потеряли {reg1} очков здоровья.
str_quest_log_updated|Журнал заданий обновлен.
str_banner_selection_text|Вам выпала честь нести стяг, который будет отражать ваш статус и принесет вам славу. Какой вы выберете?
str_retirement_text_1|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают и вы вновь отчаянно кидаетесь на поиски приключений. Вы оканчиваете свою жизнь в {s9}, влача нищенское существование и живя за счет подаяний.
str_retirement_text_2|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вам ничего не остается, кроме как стать преступником в темных переулках {s9}, где вы грабите женщин и бедных горожан, отбирая у них жалкие гроши.
str_retirement_text_3|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вы отправляетесь бродяжничать по тавернам. Сердобольные посетители порой угощают вас выпивкой, чтобы послушать ваши рассказы о войне. Впрочем, вам уже давно никто не верит.
str_retirement_text_4|Ваши сбережения невелики, но их хватает на покупку небольшого участка земли возле деревушки {s7}. Вы становитесь свободным фермером, и скоро на вас обращают внимание потенциальные {невесты/женихи}. Со временем селяне начинают почитать вас, как местного героя: вам всегда достается почетное место за праздничным столом, а о ваших приключениях рассказывают в пивных и тавернах. Вся окрестная детвора знает о ваших подвигах.
str_retirement_text_5|Ваши сбережения невелики, но их хватает на покупку маленькой таверны в {s9}. Сначала местные относятся к вам недоверчиво, но постепенно принимают вас. Со временем ваша таверна становится очень популярной, в ней проводится множество праздников. Ради того чтобы поужинать или переночевать в вашем заведении и чтобы послушать рассказы о вашем героическом прошлом, некоторые люди специально приезжают к вам из другого города. 
str_retirement_text_6|За время вашей карьеры вы постоянно откладывали деньги, а после сумели распорядиться нажитым богатством с умом. Купив несколько магазинов и складов в {s9}, вы вскоре стали одним из самых процветающих купцов города. Вы приумножали свое состояние, и вскоре вы прославились не только ратными подвигами, но и процветающей торговой империей.
str_retirement_text_7|У вас были земельные владения, пускай и небольшие, поэтому ваше будущее было более-менее предопределено. Вы обосновались в своем поместье {s7}, следили за деревней и полями, играли роль мирового судьи и выполняли обязанности перед сеньором. Вы были во главе его войск во время нескольких успешных кампаний, но к приключениям своей молодости вы так и не вернулись. У вас есть своя надёжная твердыня, земли и достаточно денег, так что вы можете позволить себе практически все, чего только пожелаете.
str_retirement_text_8|Вы отлично сумели позаботиться о себе. Ваши обширные владения и собранные в приключениях деньги позволят вам провести остаток жизни в богатстве. Вернувшись в свое имение {s8}, вы обращаетесь к политике и скоро становитесь значительной фигурой в государстве. Вы плетете интриги, охотитесь, пируете в роскошных залах, рассказывая гостям многочисленные истории о войне. Словом, все последующие годы проходят для вас просто отлично.
str_retirement_text_9|За верную службу вам пожаловали наследственный титул, так что, вы вошли в ряды высшей знати. Вы получили во владение {s7} и стали одним из самых близких и доверенных советников. Ваша известность принесла вам влияние и немалую политическую власть. Теперь вы проводите свои дни в делах управленческих, распоряжаетесь имениями и вспоминаете старые дни, полные приключений и славы.
str_retirement_text_10|Вы начинали службу с самых низов, но вас высоко ценили, и многие были несказанно удивлены, когда вас пожаловали наследным титулом и землей {s9}. Теперь в вашем распоряжении огромные владения и капиталы. Вы быстро становитесь доверенным лицом своего правителя и почти сравнялись с ним по силе и влиянию. У вас даже есть свой собственный трон, и вы по праву являетесь одной из самых значительных фигур Британии и Ирландии
str_loot_village|напасть на беззащитных селян
str_steal_from_villagers|украсть у бедных селян
str_rob_caravan|ограбить торговый караван
str_sell_slavery|продать людей в рабство
str_men_hungry|сидеть без еды
str_men_unpaid|сидеть без жалованья
str_excessive_casualties|превратить битву в кровавую бойню для своих
str_surrender|сдаться врагу
str_flee_battle|сбежать с поля боя
str_pay_bandits|откупиться от бандитов
str_fail_quest|провалить задание, за которое дано слово чести
str_treason_one|потерять честь*
str_missed_npc|провалить дело*
str_squander_money|промотать доверенные деньги
str_murder_merchant|совершить хладнокровное убийство
str_round_up_serfs|поймать рабов по приказу 
str_battle_fate_1|Мы разделились в пылу сражения
str_battle_fate_2|Меня ранили и оставили умирать
str_battle_fate_3|Удар врага лишил меня чувств
str_battle_fate_4|За меня требовали выкуп
str_battle_fate_5|Меня пленили, но мне удалось сбежать
str_npc_morale_report|Мне {s6} ваш выбор спутников, {s7} ваш способ ведения дел и {s8} расклад вещей в целом.
str_happy|очень нравится
str_content|нравится
str_concerned|не нравится
str_not_happy|совсем не нравится
str_miserable|отвратителен
str_morale_reg1| Боевой дух: {reg1}
str_bar_enthusiastic|                   люди в восторге
str_bar_content|              люди довольны
str_bar_weary|          люди устали
str_bar_disgruntled|     люди недовольны
str_bar_miserable|  люди в отчаянии
str_here_plus_space|тут
str_npc1_intro|Приветсвую Вас, {reg59?дева-воительница:предводитель}. Меня зовут Кайо. Меня послал к вам мой отец.
str_npc2_intro|Приветствую! Меня зовут Эгиль.
str_npc3_intro|{reg59?Кто Вас послал? Я никогда не вернусь назад!:Не приближайтесь ко мне! Я не выдержу этого! Я не хочу! Не делайте этого...}
str_npc4_intro|Да?
str_npc5_intro|Здравствуй {reg59?страница:странник}. Может присядешь рядом и мы вместе выпьем пинту отличного вина? 
str_npc6_intro|Мне нужно кое-что вам сказать важное. Выслушайте меня.
str_npc7_intro|Что вам надо? Не приближайтесь.
str_npc8_intro|Что вам надо?
str_npc9_intro|Эй, {reg59?баба:мужик}, принеси мне ещё вина. 
str_npc10_intro|Приветствую вас, {reg59?госпожа:господин}! Пусть сгорят народы Уэльса!
str_npc11_intro| Приветствую, {reg59?красавица:красавчик}. Я наблюдала за тобой...
str_npc12_intro|Приветствую, {reg59?госпожа:господин}. Рад знакомству.
str_npc13_intro|Чего ты хочешь?
str_npc14_intro|Приветствую тебя, {reg59?страница:странник}. Я Эйлчу. Воин племени Гэлов. Вы точно должны были слышать обо мне.
str_npc15_intro|О! Йа сою. Мое имя Агатинос. Скажи, тебе не нужно в город?
str_npc16_intro|Я вижу ты много бился. Я вижу твою судьбу. Но, я её не скажу всю... Лишь то, что смерть придёт к тебе во сне и то, что ты после себя оставил будет прекрасно. Заручись поддержкой Богов. Дай я окроплю тебя.
str_npc1_intro_response_1|Да, я в курсе. Расскажи мне о себе.
str_npc2_intro_response_1|Говори, Эгиль.
str_npc3_intro_response_1|Успокойтесь. Я не причиню Вам вреда. С чем связан ваш страх?
str_npc4_intro_response_1|Что-то Вы не очень разговорчивы?
str_npc5_intro_response_1|Конечно. С кем имею честь набить брюхо? 
str_npc6_intro_response_1|Что ж, я {reg59?вся:весь} во внимании, друг.
str_npc7_intro_response_1|Мои извинения. Но Вы выглядите так, словно вас постигла неудача.
